country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Netherlands,2016,146428.2857142857,148187.39285714284,-1759.1071428571304,-1.1870828610588777
Netherlands,2017,147013.2857142857,148187.39285714284,-1174.1071428571304,-0.792312436449304
Netherlands,2018,150420.42857142858,148187.39285714284,2233.0357142857392,1.5068999266614087
Netherlands,2019,148887.57142857142,148187.39285714284,700.1785714285797,0.4724953708468123
Netherlands,2020,165509.7142857143,148187.39285714284,17322.32142857145,11.689470402702
Netherlands,2021,168575.2857142857,148187.39285714284,20387.89285714287,13.758183111297074
Netherlands,2022,165785.85714285713,148187.39285714284,17598.46428571429,11.875817467603161
Netherlands,2023,62813.57142857143,148187.39285714284,-85373.82142857142,-57.6120679246138
Norway,2000,42777.57142857143,39909.67857142857,2867.892857142855,7.185958293324833
Norway,2001,43039.71428571428,39909.67857142857,3130.03571428571,7.842798605064461
Norway,2002,43326.71428571428,39909.67857142857,3417.03571428571,8.561922412304202
Norway,2003,41630.42857142857,39909.67857142857,1720.75,4.311610771107259
Norway,2004,40776.857142857145,39909.67857142857,867.1785714285725,2.1728528078133595
Norway,2005,40515.71428571428,39909.67857142857,606.0357142857101,1.51851815393866
Norway,2006,40382.71428571428,39909.67857142857,473.0357142857101,1.1852656579007315
Norway,2007,41060.42857142857,39909.67857142857,1150.75,2.8833857880875655
Norway,2008,40693.857142857145,39909.67857142857,784.1785714285725,1.9648832050227727
Norway,2009,40900.0,39909.67857142857,990.3214285714275,2.4814066763253786
Norway,2010,40986.71428571428,39909.67857142857,1077.0357142857101,2.6986830083286173
Norway,2011,40482.142857142855,39909.67857142857,572.4642857142826,1.4343996399011618
Norway,2012,40875.0,39909.67857142857,965.3214285714275,2.418765229701708
Norway,2013,40403.57142857143,39909.67857142857,493.89285714285506,1.2375265219410563
Norway,2014,39537.28571428572,39909.67857142857,-372.39285714285506,-0.9330890913500164
Norway,2015,40323.0,39909.67857142857,413.32142857142753,1.035642088251057
Norway,2016,39951.57142857143,39909.67857142857,41.892857142855064,0.1049691669850888
Norway,2017,39875.28571428572,39909.67857142857,-34.392857142855064,-0.08617673299798759
Norway,2018,39980.71428571428,39909.67857142857,71.03571428571013,0.17799119619210552
Norway,2019,39831.142857142855,39909.67857142857,-78.5357142857174,-0.19678363017922498
Norway,2020,40007.857142857145,39909.67857142857,98.17857142857247,0.24600190966924682
Norway,2021,41485.142857142855,39909.67857142857,1575.4642857142826,3.947574478442833
Norway,2022,44595.142857142855,39909.67857142857,4685.464285714283,11.740170438427477
Norway,2023,16386.714285714286,39909.67857142857,-23522.964285714286,-58.940500469363414
Poland,2000,360254.85714285716,395663.3214285714,-35408.46428571426,-8.94913992984475
Poland,2001,354022.71428571426,395663.3214285714,-41640.60714285716,-10.524252536856512
Poland,2002,350705.5714285714,395663.3214285714,-44957.75,-11.362627659717548
Poland,2003,357697.14285714284,395663.3214285714,-37966.17857142858,-9.595576975482315
Poland,2004,359003.5714285714,395663.3214285714,-36659.75,-9.265390046172914
Poland,2005,363690.5714285714,395663.3214285714,-31972.75,-8.080797048500742
Poland,2006,363021.0,395663.3214285714,-32642.32142857142,-8.250024619596765
Poland,2007,367847.28571428574,395663.3214285714,-27816.03571428568,-7.0302285321403675
Poland,2008,369814.7142857143,395663.3214285714,-25848.6071428571,-6.532980375721664
Poland,2009,380073.4285714286,395663.3214285714,-15589.89285714284,-3.9401915752146013
Poland,2010,374364.4285714286,395663.3214285714,-21298.89285714284,-5.383084987570146
Poland,2011,368145.5714285714,395663.3214285714,-27517.75,-6.954839761402484
Poland,2012,374193.7142857143,395663.3214285714,-21469.6071428571,-5.426231338639
Poland,2013,379464.5714285714,395663.3214285714,-16198.75,-4.094074209738023
Poland,2014,368611.2857142857,395663.3214285714,-27052.03571428574,-6.837135071457315
Poland,2015,390777.14285714284,395663.3214285714,-4886.17857142858,-1.2349334160636054
Poland,2016,382548.5714285714,395663.3214285714,-13114.75,-3.314623643315796
Poland,2017,395299.5714285714,395663.3214285714,-363.75,-0.09193422293647387
Poland,2018,403994.5714285714,395663.3214285714,8331.25,2.1056412229264545
Poland,2019,400810.5714285714,395663.3214285714,5147.25,1.3009166433258148
Poland,2020,468631.28571428574,395663.3214285714,72967.96428571432,18.44193290959044
Poland,2021,512333.5714285714,395663.3214285714,116670.25,29.48725436028629
Poland,2022,437627.85714285716,395663.3214285714,41964.53571428574,10.606122286688011
Poland,2023,163604.57142857142,395663.3214285714,-232058.75,-58.65055905665829
Portugal,2000,102694.42857142857,108817.60714285713,-6123.178571428565,-5.627010859915325
Portugal,2001,102398.85714285714,108817.60714285713,-6418.749999999985,-5.898631819364828
Portugal,2002,104214.85714285714,108817.60714285713,-4602.749999999985,-4.229784242505385
Portugal,2003,106193.42857142858,108817.60714285713,-2624.1785714285506,-2.411538573884919
Portugal,2004,100870.71428571429,108817.60714285713,-7946.8928571428405,-7.3029476256632435
Portugal,2005,105720.14285714286,108817.60714285713,-3097.4642857142753,-2.8464734403209997
Portugal,2006,99369.57142857143,108817.60714285713,-9448.035714285696,-8.682451270851963
Portugal,2007,101150.57142857143,108817.60714285713,-7667.035714285696,-7.045767606542124
Portugal,2008,100907.42857142857,108817.60714285713,-7910.178571428565,-7.269208337805097
Portugal,2009,103235.42857142857,108817.60714285713,-5582.178571428565,-5.129848668791449
Portugal,2010,104558.85714285714,108817.60714285713,-4258.749999999985,-3.913658930589279
Portugal,2011,100436.71428571429,108817.60714285713,-8380.89285714284,-7.701780141278331
Portugal,2012,105079.85714285714,108817.60714285713,-3737.7499999999854,-3.434876118065177
Portugal,2013,104062.28571428571,108817.60714285713,-4755.32142857142,-4.369992644966521
Portugal,2014,102268.85714285714,108817.60714285713,-6548.749999999985,-6.018097780263357
Portugal,2015,107433.14285714286,108817.60714285713,-1384.4642857142753,-1.2722796632503903
Portugal,2016,108187.42857142857,108817.60714285713,-630.1785714285652,-0.5791145274875038
Portugal,2017,106928.42857142857,108817.60714285713,-1889.1785714285652,-1.7360964103432523
Portugal,2018,110663.14285714286,108817.60714285713,1845.5357142857247,1.6959899806130472
Portugal,2019,109491.42857142857,108817.60714285713,673.8214285714348,0.6192209572177355
Portugal,2020,121072.0,108817.60714285713,12254.39285714287,11.26140629158951
Portugal,2021,123108.28571428571,108817.60714285713,14290.67857142858,13.132689595597885
Portugal,2022,121691.85714285714,108817.60714285713,12874.250000000015,11.831035746906782
Portugal,2023,40053.57142857143,108817.60714285713,-68764.03571428571,-63.19201232206054
Romania,2015,259598.42857142858,256172.60714285716,3425.8214285714203,1.337309818867939
Romania,2016,253864.42857142858,256172.60714285716,-2308.1785714285797,-0.9010247415491233
Romania,2017,256728.14285714287,256172.60714285716,555.5357142857101,0.21685992131700102
Romania,2018,258278.0,256172.60714285716,2105.3928571428405,0.8218649451339454
Romania,2019,255819.85714285716,256172.60714285716,-352.75,-0.13770012490183445
Romania,2020,291197.85714285716,256172.60714285716,35025.25,13.672519630667548
Romania,2021,332446.28571428574,256172.60714285716,76273.67857142858,29.77433044934965
Romania,2022,265467.14285714284,256172.60714285716,9294.535714285681,3.6282316903237404
Romania,2023,56924.42857142857,256172.60714285716,-199248.17857142858,-77.77887760665834
Slovakia,2000,51453.28571428572,52415.71428571429,-962.4285714285725,-1.8361451037039074
Slovakia,2001,50947.28571428572,52415.71428571429,-1468.4285714285725,-2.8015044561336584
